#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
57905.707074,332,372.71863
59144.943805,326,373.660587
54417.417022,333,380.786361
52601.3865,333,381.491059
54142.5467,334,382.257572
56643.536041,319,383.05641
59324.184204,339,383.743394
58963.190922,337,384.381853
55184.122958,328,391.678291
56360.764321,335,392.378159
53383.888056,318,393.056592
56885.644755,334,393.773774
58903.680647,335,394.491481
55990.281265,325,395.191711
54582.762169,330,395.91725
55443.7971,338,403.695501
53381.615465,335,404.439479
53115.770251,334,405.14017
58168.498859,333,405.887744
58066.493903,335,406.579818
59280.133432,332,407.284191
57011.890797,330,417.843816
54252.252587,332,418.585256
57877.621336,332,419.335566
54634.365891,333,420.128899
55721.964665,329,420.856937
58844.576647,331,421.560729
55862.0501,342,434.386407
56604.656026,322,435.197187
56986.134254,336,436.043034
57236.076985,331,436.959982
60668.160728,330,437.726178
55830.957659,331,438.500718
58816.674182,334,448.351712
58459.138303,333,449.057519
57400.311824,329,449.712378
59992.926916,332,450.408354
58862.798968,329,451.14154
57896.774802,333,451.795832
57746.201639,338,464.00977
57658.209908,331,464.685093
58277.168641,338,465.412125
56297.017439,335,466.068467
52669.873697,340,466.738086
58638.010119,327,467.385051
58766.058392,337,479.676667
58425.771168,327,480.572127
58255.360124,329,481.382892
55582.248871,339,482.235868
60737.233791,334,482.975269
57845.795052,334,483.939897
51293.850926,324,484.730295
58453.885055,330,495.108057
55164.234037,333,495.707938
59223.588568,331,496.268606
57758.279546,329,496.921945
55183.343484,333,497.548754
59510.639531,324,498.087784
58053.825548,338,499.876088
60915.425056,339,500.476372
57642.232169,333,501.042923
59332.419314,334,501.781944
54760.796558,329,503.007763
58279.16113,329,503.603702
59748.945824,337,505.309797
58609.219317,335,505.865901
54577.415581,335,506.443614
61267.794034,339,506.990603
56860.557537,332,507.536595
61202.739441,331,508.069612
57121.215641,333,509.721009
56330.155489,331,510.262249
60551.137149,334,510.801891
55736.111048,331,511.336792
59002.758207,333,511.87557
