agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,166,0,109235.64037003272,0.41,0.06572189922480612,0.044122572868826565,0.08857297927290601,0.8379629629629629
PPO,167,0,95222.79522821025,0.5,0.06167876901798063,0.04257225463422135,0.07990183879901085,0.7851239669421488
PPO,168,0,121077.36933331034,0.43,0.06365067829457359,0.053890145406415166,0.09651467265457406,0.8425925925925926
PPO,169,0,125975.97284435178,0.37,0.07089902402402401,0.050403646848648585,0.08692244956184118,0.8430493273542601
PPO,170,0,80284.03203979658,0.5,0.05290987318840579,0.05593155781142866,0.08301394736764393,0.8181818181818182
PPO,171,0,86270.28185537565,0.59,0.050206968704512384,0.0315521995103889,0.08332244549199089,0.7434782608695653
PPO,172,0,73450.5820186944,0.54,0.06317515432098764,0.042963178100694915,0.07431588724431804,0.783410138248848
PPO,173,0,137598.10042870633,0.39,0.039922480620155035,0.06398546299592181,0.1033105067567599,0.8935185185185185
PPO,174,0,53845.35894141542,0.74,0.0403153636884307,0.03496622133570978,0.07347193326827171,0.7671232876712328
PPO,175,0,52677.795028761924,0.65,0.06866687024972859,0.04126140974817338,0.0976873318182076,0.9512987012987013
PPO,176,0,94927.99512889775,0.28,0.0816372863247864,0.05231558114200552,0.09061575590662845,0.8571428571428571
PPO,177,0,123005.80363417135,0.37,0.06099849849849849,0.03914611166190055,0.08205169631820379,0.820627802690583
PPO,178,0,201223.97408365767,0.34,0.10592241704374054,0.06926110221915113,0.14063767924494835,1.364864864864865
PPO,179,0,134974.62706499826,0.35,0.064891581632653,0.05660904789551778,0.09933779825206383,0.868020304568528
PPO,180,0,139681.1172129371,0.29,0.07091346153846145,0.03878298235728083,0.08776262557991944,0.8418367346938775
PPO,181,0,121759.7981318842,0.4,0.06318768037518036,0.034308175888929815,0.07735880296994613,0.7241379310344828
PPO,182,0,69817.36850413971,0.57,0.07075370179063357,0.03609280172754006,0.09398184056506861,0.9382716049382716
PPO,183,0,231883.32309699824,0.34,0.0805376838235294,0.07497238766577338,0.15145094095770337,1.2390243902439024
PPO,184,0,80334.45093403266,0.58,0.049592840608465624,0.04485538745699563,0.07520391738602072,0.7984189723320159
PPO,185,0,67203.75451531896,0.5,0.06828942837465571,0.04841030247799377,0.08303200201324035,0.8271604938271605
PPO,186,0,183626.596092408,0.33,0.08659737933634987,0.07510975725913459,0.10360253178241612,1.054054054054054
PPO,187,0,157205.39699907554,0.38,0.0799412393162393,0.07668920709395836,0.10566612134040469,0.9846938775510204
PPO,188,0,33041.77257245963,0.68,0.05714609213250514,0.03361530142607993,0.07382313081377523,0.7678018575851393
